Entry,Entry name,Protein names,Length,Mass,Annotation,Date of creation,Protein existence
P21817,RYR1_HUMAN,Ryanodine receptor 1 (RYR-1) (RyR1) (Skeletal muscle calcium release channel) (Skeletal muscle ryanodine receptor) (Skeletal muscle-type ryanodine receptor) (Type 1 ryanodine receptor),5038,"565,176",5 out of 5,1991-05-01,Evidence at protein level
Q92736,RYR2_HUMAN,Ryanodine receptor 2 (RYR-2) (RyR2) (hRYR-2) (Cardiac muscle ryanodine receptor) (Cardiac muscle ryanodine receptor-calcium release channel) (Type 2 ryanodine receptor),4967,"564,567",5 out of 5,2001-09-26,Evidence at protein level
Q99584,S10AD_HUMAN,Protein S100-A13 (S100 calcium-binding protein A13),98,"11,471",5 out of 5,1997-11-01,Evidence at protein level
P55017,S12A3_HUMAN,Solute carrier family 12 member 3 (Na-Cl cotransporter) (NCC) (Na-Cl symporter) (Thiazide-sensitive sodium-chloride cotransporter),1021,"113,139",5 out of 5,1996-10-01,Evidence at protein level
Q13183,S13A2_HUMAN,Solute carrier family 13 member 2 (Na(+)/dicarboxylate cotransporter 1) (NaDC-1) (Renal sodium/dicarboxylate cotransporter),592,"64,410",5 out of 5,1997-11-01,Evidence at transcript level
Q8WWT9,S13A3_HUMAN,Solute carrier family 13 member 3 (Na(+)/dicarboxylate cotransporter 3) (NaDC-3) (hNaDC3) (Sodium-dependent high-affinity dicarboxylate transporter 2),602,"66,841",5 out of 5,2002-09-19,Evidence at protein level
P46059,S15A1_HUMAN,"Solute carrier family 15 member 1 (Intestinal H(+)/peptide cotransporter) (Oligopeptide transporter, small intestine isoform) (Peptide transporter 1)",708,"78,806",5 out of 5,1995-11-01,Evidence at transcript level
Q8IY34,S15A3_HUMAN,Solute carrier family 15 member 3 (Osteoclast transporter) (Peptide transporter 3) (Peptide/histidine transporter 2),581,"63,560",4 out of 5,2007-07-24,Evidence at transcript level
Q86VW1,S22AG_HUMAN,Solute carrier family 22 member 16 (Carnitine transporter 2) (CT2) (Fly-like putative transporter 2) (FLIPT2) (Flipt 2) (Organic cation transporter OKB1) (Organic cation/carnitine transporter 6),577,"64,614",5 out of 5,2008-02-26,Evidence at protein level
Q8N4F4,S22AO_HUMAN,Solute carrier family 22 member 24,322,"35,933",2 out of 5,2008-02-05,Evidence at transcript level
Q96AG3,S2546_HUMAN,Solute carrier family 25 member 46,418,"46,174",5 out of 5,2007-06-26,Evidence at protein level
Q9H1U9,S2551_HUMAN,Solute carrier family 25 member 51 (Mitochondrial carrier triple repeat protein 1),297,"33,672",2 out of 5,2003-11-28,Evidence at transcript level
O00337,S28A1_HUMAN,Sodium/nucleoside cotransporter 1 (Concentrative nucleoside transporter 1) (CNT 1) (hCNT1) (Na(+)/nucleoside cotransporter 1) (Sodium-coupled nucleoside transporter 1) (Solute carrier family 28 member 1),649,"71,584",5 out of 5,2000-12-01,Evidence at protein level
Q9NR83,S2A4R_HUMAN,SLC2A4 regulator (GLUT4 enhancer factor) (GEF) (Huntington disease gene regulatory region-binding protein 1) (HDBP-1),387,"41,267",5 out of 5,2002-11-01,Evidence at protein level
P0DKV0,S31C1_HUMAN,Spermatogenesis-associated protein 31C1 (Protein FAM75C1),1188,"130,522",3 out of 5,2013-02-06,Evidence at transcript level
Q8WV83,S35F5_HUMAN,Solute carrier family 35 member F5 (Hepatitis C virus NS5A-transactivated protein 3) (HCV NS5A-transactivated protein 3),523,"58,887",3 out of 5,2007-12-04,Evidence at protein level
Q96KT7,S35G5_HUMAN,Solute carrier family 35 member G5 (Acyl-malonyl-condensing enzyme 1-like protein 2),338,"35,161",2 out of 5,2006-12-12,Evidence at transcript level
P0C7Q6,S35G6_HUMAN,Solute carrier family 35 member G6 (Acyl-malonyl-condensing enzyme 1-like protein 3) (Transmembrane protein 21B),338,"35,103",3 out of 5,2008-07-01,Evidence at transcript level
Q7Z2H8,S36A1_HUMAN,Proton-coupled amino acid transporter 1 (Proton/amino acid transporter 1) (hPAT1) (Solute carrier family 36 member 1),476,"53,076",5 out of 5,2004-08-16,Evidence at protein level
Q495N2,S36A3_HUMAN,Proton-coupled amino acid transporter 3 (Proton/amino acid transporter 3) (Solute carrier family 36 member 3) (Tramdorin-2),470,"51,735",4 out of 5,2008-03-18,Evidence at transcript level
Q9H2H9,S38A1_HUMAN,Sodium-coupled neutral amino acid transporter 1 (Amino acid transporter A1) (N-system amino acid transporter 2) (Solute carrier family 38 member 1) (System A amino acid transporter 1) (System N amino acid transporter 1),487,"54,048",5 out of 5,2007-11-13,Evidence at protein level
Q96QD8,S38A2_HUMAN,Sodium-coupled neutral amino acid transporter 2 (Amino acid transporter A2) (Protein 40-9-1) (Solute carrier family 38 member 2) (System A amino acid transporter 2) (System A transporter 1) (System N amino acid transporter 2),506,"56,026",5 out of 5,2007-12-04,Evidence at protein level
Q8WUX1,S38A5_HUMAN,Sodium-coupled neutral amino acid transporter 5 (Solute carrier family 38 member 5) (System N transporter 2),472,"51,457",5 out of 5,2007-12-04,Evidence at protein level
Q9NP91,S6A20_HUMAN,Sodium- and chloride-dependent transporter XTRP3 (Sodium/imino-acid transporter 1) (Solute carrier family 6 member 20) (Transporter rB21A homolog),592,"65,914",5 out of 5,2004-03-29,Evidence at protein level
Q96ER3,SAAL1_HUMAN,Protein SAAL1,474,"53,558",2 out of 5,2007-03-06,Evidence at protein level
Q9Y2H2,SAC2_HUMAN,Phosphatidylinositide phosphatase SAC2 (EC 3.1.3.25) (Inositol polyphosphate 5-phosphatase F) (Sac domain-containing inositol phosphatase 2) (Sac domain-containing phosphoinositide 4-phosphatase 2) (hSAC2),1132,"128,407",5 out of 5,2008-04-29,Evidence at protein level
Q96E40,SACA9_HUMAN,Sperm acrosome-associated protein 9,222,"25,166",3 out of 5,2005-07-05,Evidence at protein level
Q8N8I0,SAM12_HUMAN,Sterile alpha motif domain-containing protein 12 (SAM domain-containing protein 12),201,"22,907",1 out of 5,2007-03-06,Evidence at transcript level
Q8IZD0,SAM14_HUMAN,Sterile alpha motif domain-containing protein 14 (SAM domain-containing protein 14),417,"45,056",2 out of 5,2006-10-03,Evidence at transcript level
Q5TGI4,SAMD5_HUMAN,Sterile alpha motif domain-containing protein 5 (SAM domain-containing protein 5),173,"19,231",1 out of 5,2007-11-13,Predicted
Q96LT4,SAMD8_HUMAN,Sphingomyelin synthase-related protein 1 (SMSr) (EC 2.7.8.-) (Ceramide phosphoethanolamine synthase) (CPE synthase) (Sterile alpha motif domain-containing protein 8) (SAM domain-containing protein 8),415,"48,321",5 out of 5,2004-03-01,Evidence at protein level
Q9NSI8,SAMN1_HUMAN,"SAM domain-containing protein SAMSN-1 (Hematopoietic adaptor containing SH3 and SAM domains 1) (Nash1) (SAM domain, SH3 domain and nuclear localization signals protein 1) (SH3-SAM adaptor protein)",373,"41,708",5 out of 5,2001-01-11,Evidence at protein level
Q658L1,SAXO2_HUMAN,Stabilizer of axonemal microtubules 2,398,"45,933",2 out of 5,2008-02-26,Evidence at transcript level
O95486,SC24A_HUMAN,Protein transport protein Sec24A (SEC24-related protein A),1093,"119,749",5 out of 5,2001-02-21,Evidence at protein level
O95487,SC24B_HUMAN,Protein transport protein Sec24B (SEC24-related protein B),1268,"137,418",5 out of 5,2001-02-21,Evidence at protein level
O94855,SC24D_HUMAN,Protein transport protein Sec24D (SEC24-related protein D),1032,"113,010",5 out of 5,2001-02-21,Evidence at protein level
O94979,SC31A_HUMAN,Protein transport protein Sec31A (ABP125) (ABP130) (SEC31-like protein 1) (SEC31-related protein A) (Web1-like protein),1220,"133,015",5 out of 5,2007-07-10,Evidence at protein level
P60468,SC61B_HUMAN,Protein transport protein Sec61 subunit beta,96,"9,974",5 out of 5,2004-02-16,Evidence at protein level
Q01959,SC6A3_HUMAN,Sodium-dependent dopamine transporter (DA transporter) (DAT) (Solute carrier family 6 member 3),620,"68,495",5 out of 5,1993-04-01,Evidence at protein level
P31645,SC6A4_HUMAN,Sodium-dependent serotonin transporter (SERT) (5HT transporter) (5HTT) (Solute carrier family 6 member 4),630,"70,325",5 out of 5,1993-07-01,Evidence at protein level
Q99884,SC6A7_HUMAN,Sodium-dependent proline transporter (Solute carrier family 6 member 7),636,"70,911",4 out of 5,1998-07-15,Evidence at transcript level
O15126,SCAM1_HUMAN,Secretory carrier-associated membrane protein 1 (Secretory carrier membrane protein 1),338,"37,920",5 out of 5,1998-12-15,Evidence at protein level
Q969E2,SCAM4_HUMAN,Secretory carrier-associated membrane protein 4 (Secretory carrier membrane protein 4),229,"25,728",3 out of 5,2004-05-10,Evidence at protein level
Q12770,SCAP_HUMAN,Sterol regulatory element-binding protein cleavage-activating protein (SCAP) (SREBP cleavage-activating protein),1279,"139,729",5 out of 5,2001-11-16,Evidence at protein level
Q6ZMJ2,SCAR5_HUMAN,Scavenger receptor class A member 5 (Scavenger receptor hlg),495,"53,994",5 out of 5,2007-03-06,Evidence at transcript level
P13521,SCG2_HUMAN,Secretogranin-2 (Chromogranin-C) (Secretogranin II) (SgII) [Cleaved into: Secretoneurin (SN); Manserin],617,"70,941",5 out of 5,1990-01-01,Evidence at protein level
Q6UWF3,SCIMP_HUMAN,"SLP adapter and CSK-interacting membrane protein (SLP65/SLP76, Csk-interacting membrane protein)",145,"16,618",5 out of 5,2007-07-10,Evidence at protein level
Q96NL6,SCLT1_HUMAN,Sodium channel and clathrin linker 1 (Sodium channel-associated protein 1),688,"80,910",5 out of 5,2008-02-05,Evidence at protein level
Q6NUK1,SCMC1_HUMAN,Calcium-binding mitochondrial carrier protein SCaMC-1 (Mitochondrial ATP-Mg/Pi carrier protein 1) (Mitochondrial Ca(2+)-dependent solute carrier protein 1) (Small calcium-binding mitochondrial carrier protein 1) (Solute carrier family 25 member 24),477,"53,354",5 out of 5,2008-02-05,Evidence at protein level
Q9UN30,SCML1_HUMAN,Sex comb on midleg-like protein 1,329,"37,447",3 out of 5,2004-05-10,Evidence at protein level
Q8N228,SCML4_HUMAN,Sex comb on midleg-like protein 4,414,"45,023",3 out of 5,2008-05-20,Evidence at protein level
Q99250,SCN2A_HUMAN,Sodium channel protein type 2 subunit alpha (HBSC II) (Sodium channel protein brain II subunit alpha) (Sodium channel protein type II subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.2),2005,"227,975",5 out of 5,1994-06-01,Evidence at protein level
Q15858,SCN9A_HUMAN,Sodium channel protein type 9 subunit alpha (Neuroendocrine sodium channel) (hNE-Na) (Peripheral sodium channel 1) (PN1) (Sodium channel protein type IX subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.7),1988,"226,372",5 out of 5,2004-11-23,Evidence at protein level
Q9GZW5,SCND2_HUMAN,Putative SCAN domain-containing protein SCAND2P (SCAN domain-containing protein 2 pseudogene),306,"34,217",2 out of 5,2003-04-11,Uncertain
Q9BWG6,SCNM1_HUMAN,Sodium channel modifier 1,230,"25,949",5 out of 5,2006-10-31,Evidence at protein level
Q92737,RSLAA_HUMAN,Ras-like protein family member 10A (Ras-like protein RRP22) (Ras-related protein on chromosome 22),203,"22,541",5 out of 5,1998-07-15,Evidence at protein level
Q6T310,RSLBA_HUMAN,Ras-like protein family member 11A,242,"27,006",3 out of 5,2007-10-23,Evidence at transcript level
Q86UC2,RSPH3_HUMAN,Radial spoke head protein 3 homolog (A-kinase anchor protein RSPH3) (Radial spoke head-like protein 2),560,"63,687",5 out of 5,2008-01-15,Evidence at protein level
Q96EL2,RT24_HUMAN,"28S ribosomal protein S24, mitochondrial (MRP-S24) (S24mt) (Mitochondrial small ribosomal subunit protein uS3m) (bMRP-47) (bMRP47)",167,"19,015",4 out of 5,2007-01-23,Evidence at protein level
Q9BQC6,RT63_HUMAN,"Ribosomal protein 63, mitochondrial (hMRP63) (Mitochondrial large ribosomal subunit protein mL63) (Mitochondrial ribosomal protein 63) (Mitochondrial ribosomal protein L57)",102,"12,266",3 out of 5,2006-10-17,Evidence at protein level
Q9NZ71,RTEL1_HUMAN,Regulator of telomere elongation helicase 1 (EC 3.6.4.12) (Novel helicase-like),1219,"133,683",5 out of 5,2003-03-28,Evidence at protein level
Q8IZC4,RTKN2_HUMAN,Rhotekin-2 (Pleckstrin homology domain-containing family K member 1) (PH domain-containing family K member 1),609,"69,304",3 out of 5,2007-11-13,Evidence at transcript level
O95197,RTN3_HUMAN,Reticulon-3 (Homolog of ASY protein) (HAP) (Neuroendocrine-specific protein-like 2) (NSP-like protein 2) (Neuroendocrine-specific protein-like II) (NSP-like protein II) (NSPLII),1032,"112,611",5 out of 5,2001-04-27,Evidence at protein level
Q96DX8,RTP4_HUMAN,Receptor-transporting protein 4 (28 kDa interferon-responsive protein) (3CxxC-type zinc finger protein 4),246,"27,863",5 out of 5,2002-10-10,Evidence at protein level
P08621,RU17_HUMAN,U1 small nuclear ribonucleoprotein 70 kDa (U1 snRNP 70 kDa) (U1-70K) (snRNP70),437,"51,557",5 out of 5,1988-08-01,Evidence at protein level
Q92622,RUBIC_HUMAN,Run domain Beclin-1-interacting and cysteine-rich domain-containing protein (Rubicon) (Beclin-1 associated RUN domain containing protein) (Baron),972,"108,622",5 out of 5,1997-11-01,Evidence at protein level
Q96NL0,RUN3B_HUMAN,RUN domain-containing protein 3B (Rap2-binding protein 9) (Rap2-interacting protein 9) (RPIP-9),473,"52,813",4 out of 5,2008-05-20,Evidence at transcript level
Q96GQ5,RUS1_HUMAN,RUS1 family protein C16orf58,468,"51,018",3 out of 5,2007-04-03,Evidence at protein level
Q9NUL5,RYDEN_HUMAN,Repressor of yield of DENV protein (RyDEN),291,"33,110",5 out of 5,2008-02-26,Evidence at protein level
P33763,S10A5_HUMAN,Protein S100-A5 (Protein S-100D) (S100 calcium-binding protein A5),92,"10,744",5 out of 5,1994-02-01,Evidence at protein level
P05109,S10A8_HUMAN,"Protein S100-A8 (Calgranulin-A) (Calprotectin L1L subunit) (Cystic fibrosis antigen) (CFAG) (Leukocyte L1 complex light chain) (Migration inhibitory factor-related protein 8) (MRP-8) (p8) (S100 calcium-binding protein A8) (Urinary stone protein band A) [Cleaved into: Protein S100-A8, N-terminally processed]",93,"10,835",5 out of 5,1987-08-13,Evidence at protein level
Q13621,S12A1_HUMAN,Solute carrier family 12 member 1 (Bumetanide-sensitive sodium-(potassium)-chloride cotransporter 2) (Kidney-specific Na-K-Cl symporter),1099,"121,450",5 out of 5,2001-01-11,Evidence at protein level
Q9UDX3,S14L4_HUMAN,SEC14-like protein 4 (Tocopherol-associated protein 3),406,"46,644",4 out of 5,2003-03-25,Evidence at protein level
Q9BYT1,S17A9_HUMAN,Solute carrier family 17 member 9,436,"47,482",5 out of 5,2004-05-24,Evidence at protein level
Q9BZV2,S19A3_HUMAN,Thiamine transporter 2 (ThTr-2) (ThTr2) (Solute carrier family 19 member 3),496,"55,665",5 out of 5,2006-04-18,Evidence at protein level
Q86SG5,S1A7A_HUMAN,Protein S100-A7A (S100 calcium-binding protein A15) (S100 calcium-binding protein A7-like 1) (S100 calcium-binding protein A7A),101,"11,305",4 out of 5,2003-09-26,Evidence at protein level
P21453,S1PR1_HUMAN,Sphingosine 1-phosphate receptor 1 (S1P receptor 1) (S1P1) (Endothelial differentiation G-protein coupled receptor 1) (Sphingosine 1-phosphate receptor Edg-1) (S1P receptor Edg-1) (CD antigen CD363),382,"42,811",5 out of 5,1991-05-01,Evidence at protein level
Q9Y694,S22A7_HUMAN,Solute carrier family 22 member 7 (Novel liver transporter) (Organic anion transporter 2) (hOAT2),548,"60,026",5 out of 5,2008-02-05,Evidence at protein level
Q9NSA0,S22AB_HUMAN,Solute carrier family 22 member 11 (Organic anion transporter 4),550,"59,972",5 out of 5,2006-05-16,Evidence at protein level
Q8IZD6,S22AF_HUMAN,Solute carrier family 22 member 15 (Fly-like putative transporter 1) (Flipt 1),547,"60,540",4 out of 5,2008-06-10,Evidence at transcript level
Q8WUG5,S22AH_HUMAN,Solute carrier family 22 member 17 (24p3 receptor) (24p3R) (Brain-type organic cation transporter) (Lipocalin-2 receptor) (Neutrophil gelatinase-associated lipocalin receptor) (NgalR),538,"57,686",5 out of 5,2003-01-17,Evidence at transcript level
Q9Y6Y8,S23IP_HUMAN,SEC23-interacting protein (p125),1000,"111,076",5 out of 5,2004-11-09,Evidence at protein level
Q9BSK2,S2533_HUMAN,Solute carrier family 25 member 33 (Bone marrow stromal cell mitochondrial carrier protein) (BMSC-MCP) (HuBMSC-MCP) (Protein PNC1),321,"35,375",5 out of 5,2007-06-26,Evidence at protein level
Q9HAS3,S28A3_HUMAN,Solute carrier family 28 member 3 (Concentrative Na(+)-nucleoside cotransporter 3) (CNT 3) (hCNT3),691,"76,930",5 out of 5,2008-03-18,Evidence at protein level
Q8IUI4,S29P2_HUMAN,Putative protein SNX29P2 (RUN domain-containing protein 2C) (Sorting nexin 29 protein pseudogene 2),249,"27,226",2 out of 5,2007-01-09,Uncertain
P0C874,S31D3_HUMAN,Putative spermatogenesis-associated protein 31D3 (Protein FAM75D3),917,"102,419",2 out of 5,2008-09-02,Uncertain
Q8TB61,S35B2_HUMAN,Adenosine 3'-phospho 5'-phosphosulfate transporter 1 (PAPS transporter 1) (Putative MAPK-activating protein PM15) (Putative NF-kappa-B-activating protein 48) (Solute carrier family 35 member B2),432,"47,515",5 out of 5,2005-06-07,Evidence at protein level
Q9NQQ7,S35C2_HUMAN,Solute carrier family 35 member C2 (Ovarian cancer-overexpressed gene 1 protein),365,"40,432",5 out of 5,2004-01-16,Evidence at protein level
Q5M8T2,S35D3_HUMAN,Solute carrier family 35 member D3 (Fringe connection-like protein 1),416,"44,183",2 out of 5,2007-10-23,Evidence at transcript level
Q6ICL7,S35E4_HUMAN,Solute carrier family 35 member E4,350,"36,747",2 out of 5,2007-08-21,Evidence at transcript level
Q9HBR0,S38AA_HUMAN,Putative sodium-coupled neutral amino acid transporter 10 (Solute carrier family 38 member 10),1119,"119,762",4 out of 5,2008-02-26,Evidence at protein level
Q08AI6,S38AB_HUMAN,Putative sodium-coupled neutral amino acid transporter 11 (Solute carrier family 38 member 11),406,"44,825",3 out of 5,2008-03-18,Evidence at transcript level
Q9BXY4,RSPO3_HUMAN,R-spondin-3 (Protein with TSP type-1 repeat) (hPWTSR) (Roof plate-specific spondin-3) (hRspo3) (Thrombospondin type-1 domain-containing protein 2),272,"30,929",5 out of 5,2006-05-16,Evidence at protein level
P82933,RT09_HUMAN,"28S ribosomal protein S9, mitochondrial (MRP-S9) (S9mt) (Mitochondrial small ribosomal subunit protein uS9m)",396,"45,835",5 out of 5,2002-01-23,Evidence at protein level
Q9Y3I0,RTCB_HUMAN,tRNA-splicing ligase RtcB homolog (EC 6.5.1.3),505,"55,210",5 out of 5,2006-10-31,Evidence at protein level
O75298,RTN2_HUMAN,Reticulon-2 (Neuroendocrine-specific protein-like 1) (NSP-like protein 1) (Neuroendocrine-specific protein-like I) (NSP-like protein I) (NSPLI),545,"59,264",4 out of 5,2001-04-27,Evidence at protein level
Q9H446,RWDD1_HUMAN,RWD domain-containing protein 1 (DRG family-regulatory protein 2),243,"27,940",3 out of 5,2003-08-15,Evidence at protein level
Q8WXG8,S100Z_HUMAN,Protein S100-Z (S100 calcium-binding protein Z),99,"11,620",3 out of 5,2002-04-16,Evidence at protein level
P23297,S10A1_HUMAN,Protein S100-A1 (S-100 protein alpha chain) (S-100 protein subunit alpha) (S100 calcium-binding protein A1),94,"10,546",5 out of 5,1991-11-01,Evidence at protein level
P06703,S10A6_HUMAN,Protein S100-A6 (Calcyclin) (Growth factor-inducible protein 2A9) (MLN 4) (Prolactin receptor-associated protein) (PRA) (S100 calcium-binding protein A6),90,"10,180",5 out of 5,1988-01-01,Evidence at protein level
